Fecha,Valor (millones USD)
1961-01-01,4.1
1962-01-01,4.5
1963-01-01,3.9
1964-01-01,9.3
1965-01-01,5.7
1966-01-01,6.8
1967-01-01,2.8
1968-01-01,9.4
1969-01-01,6.1
1970-01-01,8.7
1971-01-01,7.4
1972-01-01,10
1973-01-01,12.2
1974-01-01,21.8
1975-01-01,12.8
1976-01-01,16.8
1977-01-01,13.8
1978-01-01,21.5
1979-01-01,21.8
1980-01-01,28.7
1981-01-01,12.4
1982-01-01,-0.6
1983-01-01,-3.1
1984-01-01,10.3
1985-01-01,17
1986-01-01,20
1987-01-01,26.1
1988-01-01,40.2
1989-01-01,-4.5
1990-01-01,-3.5
1991-01-01,8.6
1992-01-01,12.2
1993-01-01,7.5
1994-01-01,4
1995-01-01,-0.5
1996-01-01,4.6
1997-01-01,5.6
1998-01-01,4.7
1999-01-01,-3
2000-01-01,-0.7
2001-01-01,-4.4
2002-01-01,-10.9
2003-01-01,9
2004-01-01,9
2005-01-01,9.3
2006-01-01,8.4
2007-01-01,8.7
2008-01-01,6.8
2009-01-01,-4.1
2010-01-01,9.1
2011-01-01,8.9
2012-01-01,0.9
2013-01-01,3
2014-01-01,0.5
2015-01-01,2.4
2016-01-01,-1.8
2017-01-01,3.9
2018-01-01,-2.6
2019-01-01,-2.1
2020-01-01,-9.9
2021-01-01,10.3
2022-01-01,5.9
2023-01-01,0.3
2024-01-01,-1.7
2025-01-01,5.8
2025-03-31,6.3